MODELO	MARCAS	RECARGO	DESC. FIJO
CUSTOM	FORD	25%	59%
DUMP TRUCK	FORD	25%	59%
E 350	FORD	25%	59%
ECONOLINE	FORD	25%	59%
ECOSPORT	FORD	25%	59%
ECOSPORT AMBIEN	FORD	25%	59%
ECOSPORT TREND	FORD	25%	59%
EDGE	FORD	25%	59%
EDGE AWD-SE	FORD	25%	59%
EDGE FWD SE	FORD	25%	59%
EDGE FWD SEL	FORD	25%	59%
EDGE SE	FORD	25%	59%
EDGE SEL	FORD	25%	59%
EDGE SPORT	FORD	25%	59%
ESCAPE	FORD	25%	59%
ESCAPE FWD	FORD	25%	59%
ESCAPE FWD SEL	FORD	25%	59%
ESCAPE S	FORD	25%	59%
ESCAPE SE	FORD	25%	59%
ESCAPE SE FWD	FORD	25%	59%
ESCAPE XLS FWD	FORD	25%	59%
ESCORT	FORD	25%	59%
EVEREST LIM	FORD	25%	59%
EVEREST LTD	FORD	25%	59%
EVEREST XLT	FORD	25%	59%
EXCURSION	FORD	25%	59%
EXPEDITION	FORD	25%	59%
EXPEDITION EDDI	FORD	25%	59%
EXPEDITION XLT	FORD	25%	59%
EXPLORER	FORD	25%	59%
EXPLORER  LIMIT	FORD	25%	59%
EXPLORER BASE	FORD	25%	59%
EXPLORER FWD	FORD	25%	59%
EXPLORER FWD XL	FORD	25%	59%
EXPLORER LIMITE	FORD	25%	59%
EXPLORER SPORT	FORD	25%	59%
EXPLORER XLS	FORD	25%	59%
EXPLORER XLT	FORD	25%	59%
EXPLORER XLT FW	FORD	25%	59%
EXPLORER XLT 4W	FORD	25%	59%
EXPLORER XLTFWD	FORD	25%	59%
EXPLOREREDDIEBA	FORD	25%	59%
E150	FORD	25%	59%
FIESTA	FORD	25%	59%
FIESTA TREND	FORD	25%	59%
FOCUS	FORD	25%	59%
FOCUS SE	FORD	25%	59%
FOCUS SEL	FORD	25%	59%
FORD	FORD	25%	59%
FORD RANGER LIM	FORD	25%	59%
FORESTER/PREMIU	FORD	25%	59%
FREESTAR SE	FORD	25%	59%
FRESTAR	FORD	25%	59%
FUSION	FORD	25%	59%
FUSION S	FORD	25%	59%
FW SEL	FORD	25%	59%
FWD SEL	FORD	25%	59%
F150	FORD	25%	59%
F-150 RAPTOR	FORD	25%	59%
F150 RAPTOR	FORD	25%	59%
F250	FORD	25%	59%
F350	FORD	25%	59%
F450	FORD	25%	59%
F-550	FORD	25%	59%
F550 XL	FORD	25%	59%
F550S	FORD	25%	59%
F600	FORD	25%	59%
F650	FORD	25%	59%
F700	FORD	25%	59%
F-750	FORD	25%	59%
F750	FORD	25%	59%
F800	FORD	25%	59%
GRAN TORINO	FORD	25%	59%
JEEP	FORD	25%	59%
LNT8000F	FORD	25%	59%
LTL9000	FORD	25%	59%
LT850	FORD	25%	59%
LT9000	FORD	25%	59%
L800	FORD	25%	59%
L9000	FORD	25%	59%
MAVERICK	FORD	25%	59%
MONDEO	FORD	25%	59%
MONDEO GHIA	FORD	25%	59%
MUSTANG	FORD	25%	59%
MUSTANG COUPE	FORD	25%	59%
MUSTANG GT	FORD	25%	59%
MUSTANG SHEL	FORD	25%	59%
MUSTANG SHELBY	FORD	25%	59%
NAVIGATOR	FORD	25%	59%
RANGER	FORD	25%	59%
RANGER BASE	FORD	25%	59%
RANGER WILDTRAC	FORD	25%	59%
RANGER WILDTRAK	FORD	25%	59%
RANGER XL	FORD	25%	59%
RANGER XLT	FORD	25%	59%
RANGER 4WD	FORD	25%	59%
SERIEF	FORD	25%	59%
SPORTRAC	FORD	25%	59%
STERLING L	FORD	25%	59%
SUPER DUTY 450	FORD	25%	59%
SUPERCAB	FORD	25%	59%
T	FORD	25%	59%
TAURUS	FORD	25%	59%
TEMPO	FORD	25%	59%
THOMAS	FORD	25%	59%
THUNDERBIRD	FORD	25%	59%
TK	FORD	25%	59%
TOUCH	FORD	25%	59%
TRANSIT CONNECT	FORD	25%	59%
TRUCK	FORD	25%	59%
.TUXEDO BLACK M	FORD	25%	59%
TUXEDO BLACK ME	FORD	25%	59%
WINDSTAR	FORD	25%	59%
WINSTAR	FORD	25%	59%
20	FORD	25%	59%
1700	FORD	25%	59%
550	FORD	25%	59%
BJ1043V8JB5-1	FORLAND	25%	59%
BJ3032D3PEA	FORLAND	25%	59%
BJ3032V2JBB-A1	FORLAND	25%	59%
WORTH TOWER	FORT	25%	59%
CS1023KD	FOTON	25%	59%
FLD	FREIGH LINE	25%	59%
FLD12064ST	FREIGH LINE	25%	59%
FLD120	FREIGHILINER	25%	59%
COLUMBIA 120	FREIGHTLINER	25%	59%
T086064T	FREIGHTLINER	25%	59%
CENTURY	FREIGHTLINER	25%	59%
M2-106MEDIUM DU	FREIGHTLINER	25%	59%
  M2 106	FREIGHTLINER	25%	59%
CLASSICXL	FREIGHTLINER	25%	59%
CONDO	FREIGHTLINER	25%	59%
D1200645-T	FREIGHTLINER	25%	59%
FLD	FREIGHTLINER	25%	59%
FLT8664T	FREIGHTLINER	25%	59%
M2106	FREIGHTLINER	25%	59%
CABEZAL	FREIGHTLINER	25%	59%
CENTURY CLASS	FREIGHTLINER	25%	59%
CENTURY TRUCK	FREIGHTLINER	25%	59%
CLASICO XL	FREIGHTLINER	25%	59%
CLASSIC	FREIGHTLINER	25%	59%
CL120	FREIGHTLINER	25%	59%
COLUMBIA	FREIGHTLINER	25%	59%
CONVENTIONAL	FREIGHTLINER	25%	59%
CONVENTIONAL F	FREIGHTLINER	25%	59%
C120	FREIGHTLINER	25%	59%
FLA	FREIGHTLINER	25%	59%
FLA9664ST	FREIGHTLINER	25%	59%
FLC120	FREIGHTLINER	25%	59%
FLD  120	FREIGHTLINER	25%	59%
FLD 120	FREIGHTLINER	25%	59%
FLDT120	FREIGHTLINER	25%	59%
FLD120	FREIGHTLINER	25%	59%
FLD120647	FREIGHTLINER	25%	59%
FLD132	FREIGHTLINER	25%	59%
FLT6664T	FREIGHTLINER	25%	59%
FL60	FREIGHTLINER	25%	59%
FL70	FREIGHTLINER	25%	59%
FL80	FREIGHTLINER	25%	59%
FREIGHTLINER	FREIGHTLINER	25%	59%
F4370	FREIGHTLINER	25%	59%
MB-80	FREIGHTLINER	25%	59%
MULA	FREIGHTLINER	25%	59%
M2	FREIGHTLINER	25%	59%
M2 100 25K	FREIGHTLINER	25%	59%
M2 106	FREIGHTLINER	25%	59%
M2 106 MEDIUM	FREIGHTLINER	25%	59%
M2 106 25K	FREIGHTLINER	25%	59%
M2106	FREIGHTLINER	25%	59%
M210629K	FREIGHTLINER	25%	59%
M210630K	FREIGHTLINER	25%	59%
PDXY	FREIGHTLINER	25%	59%
SLD120	FREIGHTLINER	25%	59%
ST120	FREIGHTLINER	25%	59%
TK	FREIGHTLINER	25%	59%
TR	FREIGHTLINER	25%	59%
REMOLQUE	FREUHAUF	25%	59%
TRAILER	FREUHAUF	25%	59%
TANK	FRUEHAUF	25%	59%
CISTERNA	FRUEHAUFF	25%	59%
FRUEHAUFF	FRUEHAUFF	25%	59%
NO ESPECIFICADO	FRUEHAUFF	25%	59%
REMOLQUE	FRUEHAUFF	25%	59%
CISTERNA	FUEL TANK (EMP)	25%	59%
MK	GEELY	25%	59%
MULA	GENERAL	25%	59%
M931	GENERAL	25%	59%
CAMA BAJA	GLOBE	25%	59%
ASTRO	GMC	25%	59%
BRIGADIER	GMC	25%	59%
C7H064	GMC	25%	59%
C7500	GMC	25%	59%
JIMMY	GMC	25%	59%
SAFARI	GMC	25%	59%
SIERRA	GMC	25%	59%
SONOMA	GMC	25%	59%
SUBURBAN	GMC	25%	59%
TOPKICK	GMC	25%	59%
TRUCK	GMC	25%	59%
VANDURA	GMC	25%	59%
WHITE	GMC	25%	59%
W4500	GMC	25%	59%
W5500	GMC	25%	59%
YUKON	GMC	25%	59%
194TL	GREAT DANE	25%	59%
REMOLQUE	GREAT DANE	25%	59%
194TL	GREAT DANE	25%	59%
FURGON	GREAT DANE	25%	59%
SEMI	GREAT DANE	25%	59%
TRAILER	GREAT DANE	25%	59%
VAN	GREAT DANE	25%	59%
45FT	GREAT DANE	25%	59%
53 FT.	GREAT DANE	25%	59%
7311	GREAT DANE	25%	59%
 WINGLE 5	GREAT WALL	25%	59%
CC1031PS68	GREAT WALL	25%	59%
HAVAL H5	GREAT WALL	25%	59%
HOVER CUV 4X2	GREAT WALL	25%	59%
SAFE	GREAT WALL	25%	59%
SO COOL D/C 4X4	GREAT WALL	25%	59%
HFJ6370G CARGO	HAFEI	25%	59%
HFJ6372A4B	HAFEI	25%	59%
HFJ6391AE MINIV	HAFEI	25%	59%
HFJ6370G	HAFEY	25%	59%
HARD	HARD	25%	59%
HARD	HARDEE	25%	59%
HARDEE	HARDEE	25%	59%
REMOLQUE	HARLEY	25%	59%
DAVIDSON	HARLEY	25%	59%
DAYNA SUPER GLI	HARLEY DAVIDSON	25%	59%
FAT BOY	HARLEY DAVIDSON	25%	59%
FL TRU	HARLEY DAVIDSON	25%	59%
FLHR	HARLEY DAVIDSON	25%	59%
FLSTF	HARLEY DAVIDSON	25%	59%
FXDB	HARLEY DAVIDSON	25%	59%
HERITAGE S. CLA	HARLEY DAVIDSON	25%	59%
ROAD KING CLASS	HARLEY DAVIDSON	25%	59%
SOFTAIL	HARLEY DAVIDSON	25%	59%
SPORTSTER 48	HARLEY DAVIDSON	25%	59%
UC6G901	HARLEY DAVIDSON	25%	59%
VRSCA	HARLEY DAVIDSON	25%	59%
XL1200	HARLEY DAVIDSON	25%	59%
XL883	HARLEY DAVIDSON	25%	59%
XL883R	HARLEY DAVIDSON	25%	59%
TS5X8DS2	HAULMARK	25%	59%
H5	HAVAL	25%	59%
HFJ1027DD1TV-J	HEIBAO	25%	59%
CISTERNA	HEILL	25%	59%
FC2WHSA	HINO	25%	59%
FG1JPUB-BGX	HINO	25%	59%
CAMION	HINO	25%	59%
DUTRO	HINO	25%	59%
FC	HINO	25%	59%
FCT-800R50	HINO	25%	59%
FCZWHSA	HINO	25%	59%
FC3JJUA-ANX	HINO	25%	59%
FC3JLUA-ANX	HINO	25%	59%
FD174	HINO	25%	59%
FE	HINO	25%	59%
FE2618	HINO	25%	59%
FF17	HINO	25%	59%
FF175	HINO	25%	59%
FF175F	HINO	25%	59%
FF175SA	HINO	25%	59%
FF1755	HINO	25%	59%
FF178	HINO	25%	59%
FF3HMSA	HINO	25%	59%
FG	HINO	25%	59%
FG1JPUB-BGX	HINO	25%	59%
